org,teamproject,url,repo-count,pipeline-count,pr-count
"sachugk","Github","https://dev.azure.com/sachugk/Github",1,0,0
"sachugk","Space Game","https://dev.azure.com/sachugk/Space%20Game",1,0,0
"sachugk","MyHealthClinic","https://dev.azure.com/sachugk/MyHealthClinic",1,0,0
